row,candidate_rank,candidate_type,candidate_row,distance_l1,correlation_if_available,is_true,source_path
1840,1,true,1840,0.0365614,0.975227,True,/path/to/20260417_4.7_fresh_start/sessions/cittadel_first_human_20260425_020819/derived/Emissions/tile_001840.png
1840,2,wrong_real,5466,0.2373202,0.066696,False,/path/to/20260417_4.7_fresh_start/sessions/cittadel_first_human_20260425_020819/derived/Emissions/tile_005466.png
1840,3,wrong_real,5957,0.2414169,0.040449,False,/path/to/20260417_4.7_fresh_start/sessions/cittadel_first_human_20260425_020819/derived/Emissions/tile_005957.png
1840,4,wrong_real,5449,0.2421677,0.023347,False,/path/to/20260417_4.7_fresh_start/sessions/cittadel_first_human_20260425_020819/derived/Emissions/tile_005449.png
1840,5,wrong_real,5526,0.242766,0.028847,False,/path/to/20260417_4.7_fresh_start/sessions/cittadel_first_human_20260425_020819/derived/Emissions/tile_005526.png
1840,6,wrong_real,5396,0.2431455,0.016845,False,/path/to/20260417_4.7_fresh_start/sessions/cittadel_first_human_20260425_020819/derived/Emissions/tile_005396.png
1840,7,wrong_real,5681,0.2433065,0.044691,False,/path/to/20260417_4.7_fresh_start/sessions/cittadel_first_human_20260425_020819/derived/Emissions/tile_005681.png
1840,8,wrong_real,5862,0.2438356,0.008664,False,/path/to/20260417_4.7_fresh_start/sessions/cittadel_first_human_20260425_020819/derived/Emissions/tile_005862.png
1840,9,wrong_real,5765,0.2442062,0.030404,False,/path/to/20260417_4.7_fresh_start/sessions/cittadel_first_human_20260425_020819/derived/Emissions/tile_005765.png
1840,10,wrong_real,5761,0.2443704,0.021122,False,/path/to/20260417_4.7_fresh_start/sessions/cittadel_first_human_20260425_020819/derived/Emissions/tile_005761.png
1840,11,wrong_real,5404,0.244495,-0.006584,False,/path/to/20260417_4.7_fresh_start/sessions/cittadel_first_human_20260425_020819/derived/Emissions/tile_005404.png
1840,12,wrong_real,5962,0.2445259,0.012517,False,/path/to/20260417_4.7_fresh_start/sessions/cittadel_first_human_20260425_020819/derived/Emissions/tile_005962.png
1840,13,wrong_real,5958,0.2450727,0.007191,False,/path/to/20260417_4.7_fresh_start/sessions/cittadel_first_human_20260425_020819/derived/Emissions/tile_005958.png
